submission_id,platform,campaign_type,days_live,creator_followers,avg_views_30d,video_length_sec,views,likes,comments,shares,saves,reach,avg_watch_time_sec,completion_rate,tier1_audience_pct,profile_traffic_pct,search_traffic_pct,fyp_reels_explore_pct,graph_pattern,retention_pattern,max_view_jump_pct,flatline_hours_before_jump,like_freeze_flag,late_like_spike_flag,no_matching_engagement_flag,comment_quality,suspicious_comment_pct,repeated_comment_pct,bot_like_profile_pct,views_to_avg_multiplier,like_rate,comment_rate,share_rate,engagement_rate,reach_view_ratio,fraud_risk_score,risk_level,label,decision_recommendation,likely_fraud_type,reviewer_reason,suggested_action,source_type,source_note
GEN-000001,Instagram,Anime Edit,5,2517,3373,60,342301,1165,6,15,1990,133538,4.77,0.0884,0.1681,0.8062,0.2167,0.0023,flat_then_spike,unknown,2.4577,89,False,False,True,unrelated,0.7848,0.0827,0.3041,101.4827,0.003403,1.8e-05,4.4e-05,0.003465,0.390119,93,Critical,botted,Reject,needs_analytics,large sudden view jump; views rise without matching engagement,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000002,Instagram,Mobile Game Speedrun,6,19562,8207,60,48843,2583,470,147,16,49992,50.02,0.82,0.4095,0.1628,0.1911,0.6193,smooth_gradual,strong_retention,0.2156,3,False,False,False,relevant_discussion,0.0,0.0964,0.1018,5.9514,0.052884,0.009623,0.00301,0.065516,1.023524,18,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000003,TikTok,Car Slideshows,6,9138,1785,15,273322,1844,40,132,1394,87881,2.5,0.2116,0.1166,0.4222,0.0331,0.6163,step_like_batches,low_watch_time,2.0417,69,False,False,True,emoji_spam,0.4876,0.6195,0.4722,153.1216,0.006747,0.000146,0.000483,0.007376,0.321529,78,Critical,botted,Reject,possible_autoswipe,large sudden view jump; views rise without matching engagement,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000004,Instagram,Fitness Clip,14,21945,358,60,63390,138,0,58,368,35288,13.49,0.2394,0.1873,0.6646,0.3003,0.0,vertical_spike_no_engagement,low_watch_time,2.2293,50,False,False,True,emoji_spam,0.7273,0.2625,0.4142,177.067,0.002177,0.0,0.000915,0.003092,0.556681,80,Critical,botted,Reject,fake_views,large sudden view jump; views rise without matching engagement; high views with almost no comments,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000005,Instagram,Tech Gadget,6,43707,3313,30,74453,2570,19,76,397,11325,12.24,0.4533,0.4761,0.4033,0.4882,0.1206,low_engagement_smooth,broken_or_missing,0.2669,76,False,False,True,unrelated,0.2331,0.4237,0.2987,22.473,0.034518,0.000255,0.001021,0.035794,0.152109,40,Medium,suspicious,Needs Manual Review,possible_fake_views,views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000006,TikTok,Car Slideshows,6,1412,42136,60,92802,8626,1091,531,423,93214,43.42,0.6715,0.6738,0.1081,0.0901,0.8354,normal_viral_smooth,strong_retention,0.3068,1,False,False,False,short_but_relevant,0.0,0.0413,0.0151,2.2024,0.092951,0.011756,0.005722,0.110429,1.00444,9,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000007,YouTube Shorts,Travel Hook,14,2298,19953,15,156655,4948,176,224,718,69089,1.51,0.1129,0.67,0.3866,0.2479,0.3853,late_like_spike,flat_or_odd,0.4026,40,False,True,False,generic_repeated,0.266,0.3188,0.2318,7.8512,0.031585,0.001123,0.00143,0.034139,0.441026,50,High,suspicious,Reject and ask for analytics in ticket,fake_likes,late like spike,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000008,YouTube Shorts,Mobile Game Speedrun,10,105,3679,12,74038,296,41,38,146,28876,1.29,0.1139,0.0644,0.8497,0.5202,0.0,late_like_spike,broken_or_missing,0.7281,88,False,True,True,generic_repeated,0.2659,0.461,0.6382,20.1245,0.003998,0.000554,0.000513,0.005065,0.390016,51,High,suspicious,Reject and ask for analytics in ticket,fake_likes,views rise without matching engagement; late like spike,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000009,Instagram,Mobile Game Speedrun,14,36189,3927,45,11603,745,121,8,10,10978,27.83,0.791,0.4341,0.1756,0.0655,0.6915,smooth_gradual,gradual_drop,0.3371,3,False,False,False,short_but_relevant,0.0,0.0653,0.0604,2.9547,0.064208,0.010428,0.000689,0.075325,0.946135,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000010,Instagram,Fitness Clip,13,28699,2134,45,282349,2668,0,136,1075,61776,6.7,0.1698,0.3941,0.0815,0.5091,0.3873,late_like_spike,broken_or_missing,0.8737,52,False,True,True,none,0.1601,0.5137,0.5291,132.3097,0.009449,0.0,0.000482,0.009931,0.218793,96,Critical,botted,Reject,possible_fake_boost,views rise without matching engagement; high views with almost no comments; late like spike,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
